901.txt                                 
    f [Hz]  Sp [m2s]
    0.6850    0.0088
    0.6858    0.0087
    0.6867    0.0086
    0.6875    0.0085
    0.6883    0.0084
    0.6892    0.0083
    0.6900    0.0083
    0.6908    0.0082
    0.6917    0.0081
    0.6925    0.0080
    0.6933    0.0080
    0.6942    0.0080
    0.6950    0.0080
    0.6958    0.0079
    0.6967    0.0079
    0.6975    0.0079
    0.6983    0.0079
    0.6992    0.0079
    0.7000    0.0079
    0.7008    0.0080
    0.7017    0.0080
    0.7025    0.0080
    0.7033    0.0080
    0.7042    0.0080
    0.7050    0.0079
    0.7058    0.0080
    0.7067    0.0080
    0.7075    0.0080
    0.7083    0.0081
    0.7092    0.0081
    0.7100    0.0081
    0.7108    0.0081
    0.7117    0.0082
    0.7125    0.0082
    0.7133    0.0082
    0.7142    0.0082
    0.7150    0.0082
    0.7158    0.0082
    0.7167    0.0083
    0.7175    0.0083
    0.7183    0.0083
    0.7192    0.0083
    0.7200    0.0083
    0.7208    0.0083
    0.7217    0.0082
    0.7225    0.0082
    0.7233    0.0081
    0.7242    0.0081
    0.7250    0.0081
    0.7258    0.0081
    0.7267    0.0081
    0.7275    0.0081
    0.7283    0.0080
    0.7292    0.0080
    0.7300    0.0079
    0.7308    0.0078
    0.7317    0.0077
    0.7325    0.0076
    0.7333    0.0074
    0.7342    0.0073
    0.7350    0.0073
    0.7358    0.0072
    0.7367    0.0072
    0.7375    0.0072
    0.7383    0.0071
    0.7392    0.0070
    0.7400    0.0070
    0.7408    0.0069
    0.7417    0.0068
    0.7425    0.0067
    0.7433    0.0066
    0.7442    0.0065
    0.7450    0.0064
    0.7458    0.0062
    0.7467    0.0061
    0.7475    0.0061
    0.7483    0.0060
    0.7492    0.0059
    0.7500    0.0059
    0.7508    0.0058
    0.7517    0.0057
    0.7525    0.0056
    0.7533    0.0055
    0.7542    0.0055
    0.7550    0.0054
    0.7558    0.0053
    0.7567    0.0052
    0.7575    0.0051
    0.7583    0.0050
    0.7592    0.0049
    0.7600    0.0048
    0.7608    0.0048
    0.7617    0.0047
    0.7625    0.0046
    0.7633    0.0045
    0.7642    0.0045
    0.7650    0.0044
    0.7658    0.0044
    0.7667    0.0044
    0.7675    0.0044
    0.7683    0.0044
    0.7692    0.0044
    0.7700    0.0044
    0.7708    0.0044
    0.7717    0.0043
    0.7725    0.0043
    0.7733    0.0043
    0.7742    0.0043
    0.7750    0.0043
    0.7758    0.0042
    0.7767    0.0042
    0.7775    0.0042
    0.7783    0.0042
    0.7792    0.0042
    0.7800    0.0043
    0.7808    0.0043
    0.7817    0.0044
    0.7825    0.0045
    0.7833    0.0045
    0.7842    0.0046
    0.7850    0.0046
    0.7858    0.0047
    0.7867    0.0047
    0.7875    0.0048
    0.7883    0.0048
    0.7892    0.0049
    0.7900    0.0049
    0.7908    0.0050
    0.7917    0.0050
    0.7925    0.0051
    0.7933    0.0052
    0.7942    0.0052
    0.7950    0.0053
    0.7958    0.0053
    0.7967    0.0053
    0.7975    0.0053
    0.7983    0.0053
    0.7992    0.0053
    0.8000    0.0052
    0.8008    0.0052
    0.8017    0.0052
    0.8025    0.0051
    0.8033    0.0051
    0.8042    0.0050
    0.8050    0.0050
    0.8058    0.0050
    0.8067    0.0049
    0.8075    0.0049
    0.8083    0.0049
    0.8092    0.0048
    0.8100    0.0047
    0.8108    0.0047
    0.8117    0.0046
    0.8125    0.0045
    0.8133    0.0044
    0.8142    0.0043
    0.8150    0.0042
    0.8158    0.0041
    0.8167    0.0039
    0.8175    0.0038
    0.8183    0.0037
    0.8192    0.0036
    0.8200    0.0034
    0.8208    0.0033
    0.8217    0.0033
    0.8225    0.0032
    0.8233    0.0032
    0.8242    0.0032
    0.8250    0.0032
    0.8258    0.0032
    0.8267    0.0032
    0.8275    0.0032
    0.8283    0.0032
    0.8292    0.0032
    0.8300    0.0032
    0.8308    0.0032
    0.8317    0.0033
    0.8325    0.0033
    0.8333    0.0033
    0.8342    0.0034
    0.8350    0.0034
    0.8358    0.0035
    0.8367    0.0036
    0.8375    0.0036
    0.8383    0.0037
    0.8392    0.0037
    0.8400    0.0037
    0.8408    0.0038
    0.8417    0.0039
    0.8425    0.0039
    0.8433    0.0040
    0.8442    0.0041
    0.8450    0.0042
    0.8458    0.0042
    0.8467    0.0043
    0.8475    0.0043
    0.8483    0.0044
    0.8492    0.0044
    0.8500    0.0044
    0.8508    0.0045
    0.8517    0.0045
    0.8525    0.0045
    0.8533    0.0045
    0.8542    0.0045
    0.8550    0.0045
    0.8558    0.0044
    0.8567    0.0044
    0.8575    0.0043
    0.8583    0.0042
    0.8592    0.0041
    0.8600    0.0040
    0.8608    0.0039
    0.8617    0.0038
    0.8625    0.0037
    0.8633    0.0036
    0.8642    0.0036
    0.8650    0.0035
    0.8658    0.0034
    0.8667    0.0033
    0.8675    0.0032
    0.8683    0.0031
    0.8692    0.0031
    0.8700    0.0030
    0.8708    0.0029
    0.8717    0.0029
    0.8725    0.0029
    0.8733    0.0028
    0.8742    0.0028
    0.8750    0.0028
    0.8758    0.0027
    0.8767    0.0027
    0.8775    0.0027
    0.8783    0.0027
    0.8792    0.0026
    0.8800    0.0026
    0.8808    0.0026
    0.8817    0.0025
    0.8825    0.0025
    0.8833    0.0025
    0.8842    0.0025
    0.8850    0.0025
    0.8858    0.0025
    0.8867    0.0025
    0.8875    0.0025
    0.8883    0.0026
    0.8892    0.0026
    0.8900    0.0026
    0.8908    0.0026
    0.8917    0.0026
    0.8925    0.0026
    0.8933    0.0026
    0.8942    0.0026
    0.8950    0.0026
    0.8958    0.0027
    0.8967    0.0027
    0.8975    0.0027
    0.8983    0.0027
    0.8992    0.0027
    0.9000    0.0028
    0.9008    0.0028
    0.9017    0.0028
    0.9025    0.0029
    0.9033    0.0029
    0.9042    0.0029
    0.9050    0.0029
    0.9058    0.0029
    0.9067    0.0029
    0.9075    0.0029
    0.9083    0.0030
    0.9092    0.0030
    0.9100    0.0030
    0.9108    0.0030
    0.9117    0.0031
    0.9125    0.0031
    0.9133    0.0031
    0.9142    0.0031
    0.9150    0.0031
    0.9158    0.0032
    0.9167    0.0032
    0.9175    0.0032
    0.9183    0.0032
    0.9192    0.0033
    0.9200    0.0033
    0.9208    0.0033
    0.9217    0.0033
    0.9225    0.0033
    0.9233    0.0032
    0.9242    0.0032
    0.9250    0.0032
    0.9258    0.0032
    0.9267    0.0032
    0.9275    0.0032
    0.9283    0.0032
    0.9292    0.0032
    0.9300    0.0031
    0.9308    0.0031
    0.9317    0.0031
    0.9325    0.0031
    0.9333    0.0030
    0.9342    0.0030
    0.9350    0.0030
    0.9358    0.0029
    0.9367    0.0029
    0.9375    0.0029
    0.9383    0.0028
